type,lat,lng,icon,name/text,alt_names,subheader/text,description,size,angle,spacing,curve,coords,style,overlay,infobox,text_lines
marker,55.178867663282006,69.34570312500001,dwarf-outpost,Hammerguard,,,![Hammerguard](images/Hammerguard.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,17.602139123350852,-24.9609375,bp-010,Marker,,,"![69df3a4e695e5be07b1695521eb7d2ca](images/69df3a4e695e5be07b1695521eb7d2ca.jpg)
Gorlak Orc

goblin
",,,,,,"{""iconScale"":0.1}",,"{""title"":""Gorlak Watch"",""subtitle"":""Estuary Guardian Profile"",""image"":{""src"":""images/Events/the-bored-gorlak.webp"",""alt"":""Illustration of the marsh sentinel Gorlak""},""rows"":[{""label"":""Habitat"",""value"":""Peat bogs at the river estuary""},{""label"":""Role"",""value"":""Balances salt and freshwater tides""},{""label"":""Offerings"",""value"":""Cedar smoke braids before eel harvests""}]}",
marker,62.47021666481544,38.365079910831575,dwarf-outpost,Zubar,,,"![Avlar Thrûn](images/Avlar-Thr%C3%BBn.jpg)
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Zubar Hold"",""subtitle"":""Lost Hold Profile"",""image"":{""src"":""images/Avlar-Thr%C3%BBn.jpg"",""alt"":""Illustration of the hold in its current state""},""rows"":[{""label"":""Type"",""value"":""Lost Hold""},{""label"":""Location"",""value"":""Central-western Worlds Edge Mountains""},{""label"":""Population"",""value"":""N/A""},{""label"":""Allegiance"",""value"":""None""},{""label"":""Industry"",""value"":""Gemstones (Former); Dragontaming (Former)""}]}",
marker,-60.064369323057086,60.623369145756726,dwarf-outpost,Khazadûn Kharn,Gate of the Skyhammer; Kharn-azor,Sky-carved bastion guarding the Northern Crown Pass,"![Khazadûn Kharn](images/Dwarfhold/Khazad%C3%BBn%20Kharn.jpg)

## Overview
Khazadûn Kharn straddles the Northern Crown Pass, its runic terraces carved into the sheer basalt ridgeline to watch the auroral skies. Granite signal towers feed a mesh of mirrored beacons that can alert every clanhold along the ridge in moments.

## History
Founded when Clan Stormthane fled the doom of Karak Nor, the hold was raised on the bones of an older Karak Bryn watchpost. Its skyhammer batteries famously shattered Warlord Golg's airship armada during the Iron Gale War, securing the upper passes for a century.

### Culture and Craft
The hold's guilds venerate the open sky; apprentices spend their oath-year tending wind-vanes and star charts before touching a forge hammer. Skyglass panelling and reinforced zeppelin docking claws are traded to allied holds for exotic ores and glacier mead.

### Strategic Notes
- The Skyhammer Gate can rotate to cover three separate valleys without repositioning its engines.
- Mirror-beacon relays tied to Khazadûn Kharn cut messenger travel times between northern holds by two thirds.

### Current Outlook
With winter squalls thickening, Thane Dromri Stormthane has ordered additional patrols of the hanging rope-roads and reopened talks with Kislevite trappers for shared avalanche wards.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Khazadûn Kharn"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Prosperous High Hold""},{""label"":""Founded"",""value"":""c. -1900 KI""},{""label"":""Specialty"",""value"":""Skyhammer ballistae & aurora beacons""},{""label"":""Notable Clan"",""value"":""Clan Stormthane""}]}",
marker,-17.743143160455016,73.69621978455072,dwarf-outpost,Dhurnomli Bûr,,,"![Dhurnomli Bûr](images/Dwarfhold/Dhurnomli%20B%C3%BBr.jpg)
",,,,,,"{""iconScale"":0.01}",,,
marker,66.91328491074654,86.66026073563467,abandon-dwarfhold,Zarak-az-Garaz,Obsidian Crown,Volcanic bastion crowned with rune-lit obsidian,"![Zarak-az-Garaz](images/Zarak-az-Garaz.jpg)

## Overview
Zarak-az-Garaz grips the rim of a dormant caldera, its curtain walls faced with obsidian plates etched in gold. Steam plumes vent from the terraces, giving the impression of a crown wreathed in silver vapour.

## History
The hold began as a lava observation outpost before Clan Darkflint anchored permanent bulwarks to contain the volcano's rage. It repelled the twin sieges of the Ashen Hordes thanks to rune-etched sluice gates that redirected pyroclastic flows into enemy lines.

### Culture and Craft
Residents cultivate heat-hardened fungus gardens and brew smoky lagers infused with volcanic mineral water. The rune-masters specialize in ash-steel lamellar armour prized by tunnel scouts who must endure searing vents.

### Strategic Notes
- Obsidian mirrors embedded in the parapets can focus sunlight into blinding lances at midday.
- The hold's ash-storm sirens warn neighboring settlements of eruptions across three valleys.

### Current Outlook
A recent tremor has revived fears that the caldera may awaken; engineers are reinforcing the southern siphon tunnels while envoys request additional rune-warders from Karaz-a-Karak.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Zarak-az-Garaz"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Watchful Border Hold""},{""label"":""Founded"",""value"":""-1420 KI""},{""label"":""Specialty"",""value"":""Obsidian runebulwarks & ash-steel""},{""label"":""Notable Clan"",""value"":""Clan Darkflint""}]}",
marker,-15.707868045450846,37.529057062663334,dwarf-outpost,Gundûm Garmak,Hammer of the Westwall,Frontier fortress shielding the troll-haunted crags,"![Gundûm Garmak](images/Dwarfhold/Gund%C3%BBm%20Garmak.jpg)

## Overview
Gundûm Garmak juts from a wind-scoured ridge like the head of a warhammer, all blunt angles and bristling artillery towers. Signal bonfires scar the surrounding cliffs, remnants of countless campaigns against the western troll clans.

## History
Raised after trolls devastated the mining camps of Grung Har, the hold's founders swore never to yield the pass again. Their vow held even when the Stonebellied King besieged Gundûm Garmak for seven winters, only to be crushed under an avalanche triggered by hidden blast chambers.

### Culture and Craft
Every warrior trains with collapsible palisades designed to spring from the earth using torsion springs. Feast days commemorate troll-hunts; the greatest champions inscribe new slayer-epics onto the vaulting of the Hall of Broken Tusks.

### Strategic Notes
- Rotating bolt throwers nest within slot canyons, allowing defenders to fire and vanish between salvos.
- A chain of collapsible palisade pits can seal the Western March in under an hour.

### Current Outlook
Scouts report troll warbands uniting under a fire-scarred shaman; preparations are underway to lure them into the avalanche traps before spring thaws the snowpack.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Gundûm Garmak"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Fortified Borderhold""},{""label"":""Founded"",""value"":""-1330 KI""},{""label"":""Specialty"",""value"":""Runed bolt throwers & collapsible palisades""},{""label"":""Notable Clan"",""value"":""Clan Trolldräng""}]}",
marker,-9.968684322671002,72.22412109375001,dwarf-outpost,Azar-khazad,,,![Azar-khazad](images/Dwarfhold/Azar-Khazad.jpg),,,,,,"{""iconScale"":0.01}",,,
marker,-18.646245142670608,0.7910156250000001,dwarf-outpost,Kazad-grimil,Hold of the Grim Oath,Stern sanctuary for slayer cults and oath-breakers seeking redemption,"![Kazad-grimil](images/Dwarfhold/Kazad-grimil.jpg)

## Overview
Kazad-grimil looms like a granite gallows above the surrounding ravines, its statues depicting ancestors with axes held in grim salute. The hold offers sanctuary to oath-breakers who seek redemption through service and sacrifice.

## History
After the Tragedy of Dronfil, when a thane abandoned his post, the disgraced survivors carved Kazad-grimil as both prison and refuge. It has since birthed legendary slayer companies that marched against daemons and dragons alike.

### Culture and Craft
The hold's feasts are sparse, its songs low; residents carve their failings into the penitence walls before shaving their heads and taking the slayer's crest. Rune-masters forge double-edged axes balanced for whirlwind strikes favored by the hold's champions.

### Strategic Notes
- Retractable iron bridges can drop entire invading columns into spike-filled repentance pits.
- A ring of watch chapels allows slayers to deploy rapidly to any gate when alarms sound.

### Current Outlook
A surge of volunteers from human frontier towns has strained supplies; the council weighs whether to expand the penitence quarters or send excess warriors to allied holds.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Kazad-grimil"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Solemn Redemption Hold""},{""label"":""Founded"",""value"":""-1205 KI""},{""label"":""Specialty"",""value"":""Slayer forges & penitent lodges""},{""label"":""Notable Clan"",""value"":""Clan Grimskald""}]}",
marker,51.8,7.9,dwarf-outpost,Bêrdûm Barak,Harbor Under the Mountain,Dockhold controlling a subterranean river harbor,"![Bêrdûm Barak](images/Dwarfhold/B%C3%AArd%C3%BBm%20Barak.jpg)

## Overview
Bêrdûm Barak nestles along a cavern lake where an underground river surfaces before plunging back into darkness. Tiered docks and carved breakwaters transform the chamber into a bustling harbor lit by floating lanterns.

## History
The hold grew from a waystation that ferried ore to the distant coast. After Clan Riverthane perfected rune-driven tide locks, Bêrdûm Barak monopolized trade along the subterranean waterways, even sheltering elf skiffs during the Storm of Broken Sails.

### Culture and Craft
Sailors here chart currents by listening to harmonic resonances in the cavern ceiling, translating them into intricate knot-scripts. Stone-hulled barges lined with buoyant mushrooms carry goods between holds and surface markets.

### Strategic Notes
- Tide locks can isolate sections of the harbor, trapping intruders or sealing contraband.
- Floodgates redirect torrents to create defensive whirlpools against unwelcome vessels.

### Current Outlook
Merchants petition for expanded warehousing after discovering rich amber deposits downstream; negotiations with Thûrdrim Duraz scribes are underway to catalog the new routes.
",,,,,,"{""iconScale"":0.01}",,"{""title"":""Bêrdûm Barak"",""subtitle"":""Dwarfen Hold Profile"",""rows"":[{""label"":""Status"",""value"":""Riverway Tradehold""},{""label"":""Founded"",""value"":""-1575 KI""},{""label"":""Specialty"",""value"":""Stone-hulled barges & tide locks""},{""label"":""Notable Clan"",""value"":""Clan Riverthane""}]}",
